Rank,Name,ADP_Min,ADP_Max,Games,TOTAL,AST,FT,PTS,Threes,STL,BLK,FG,REB,TO,PG,SG,SF,PF,C
1,nikola jokic,1.3,1.9,77,1.2,2.5,1.5,2.3,-0.2,1.4,0.1,2.7,2.6,-2,No,No,No,No,Yes
2,james harden,5.5,5.8,75,1,3.8,2.3,1.7,1.3,1.2,0.3,-0.1,1.1,-2.9,Yes,Yes,No,No,No
3,stephen curry,4.3,5.9,74,1,1.4,2.9,2.7,3.6,1,-0.9,-0.1,0,-2,Yes,No,No,No,No
4,damian lillard,6.8,7.6,77,0.9,2.2,3.8,2.6,2.7,0.3,-0.8,-0.9,-0.6,-1.6,Yes,No,No,No,No
5,karl anthony towns,8,8.7,73,0.8,0.5,1,1.9,1.2,-0.2,1.4,0.5,2.4,-1.8,No,No,No,No,Yes
6,kevin durant,6.1,9.2,69,0.7,0.9,2.2,2,0.7,-0.5,1,1.4,0.7,-1.8,No,No,Yes,Yes,No
7,anthony davis,12.2,18.6,69,0.7,-0.1,-0,1.5,-0.6,1.3,2.6,0.8,1.5,-0.6,No,No,No,Yes,Yes
7,jayson tatum,10.2,10.4,78,0.7,0.7,1.5,2.4,1.7,1.1,-0.1,-0.6,1,-1.3,No,No,Yes,Yes,No
8,joel embiid,9,14.1,65,0.7,0,1.6,2,-0.3,0.2,1.6,0.5,2.3,-1.7,No,No,No,No,Yes
9,bradley beal,9.1,14.5,73,0.7,1.3,2.5,2.9,1.1,1,-0.5,-0.4,-0.3,-1.7,No,Yes,No,No,No
9,paul george,11.8,13.9,74,0.7,1.1,1.5,1.9,2.1,1.6,-0.3,-0.7,0.7,-2,No,Yes,Yes,No,No
10,giannis antetokounmpo,2.6,3,74,0.6,1.4,-3.6,2.5,-0.5,1,1.2,3,2.9,-2.1,No,No,Yes,Yes,No
11,jimmy butler,20.5,24.5,72,0.6,1,1.9,1.1,-1.1,2.9,-0.5,0.3,0.1,-0.5,No,Yes,Yes,No,No
12,bam adebayo,20.8,26.9,76,0.5,0.8,-0.1,0.8,-1.7,1.1,1,2.1,1.9,-1.1,No,No,No,Yes,Yes
13,kyrie irving,22.1,34,61,0.5,1,1.2,1.5,1,1.1,-0.2,0.5,-0.4,-0.9,Yes,Yes,No,No,No
14,fred vanvleet,24.1,25,71,0.5,1.5,1.2,1,1.9,2.2,-0.1,-2.2,-0.6,-0.2,Yes,Yes,No,No,No
15,luka doncic,3.1,3.2,75,0.5,3,-1.1,2.7,1.7,0.5,-0.3,-0,1.5,-3.4,Yes,No,Yes,No,No
15,nikola vucevic,16.2,16.5,75,0.5,0.1,0.3,1.1,0.5,-0.1,0.3,-0.1,2.6,-0.1,No,No,No,No,Yes
