name,positions,GP,MIN,FG%,FT%,3PM,REB,AST,A/TO,STL,BLK,TO,PTS
Nikola Jokic,['C'],78,35.1,.561,.862,1.3,11.1,8.7,2.72,1.3,0.7,3.2,26.1
Giannis Antetokounmpo,['PF'],76,33.3,.564,.717,1.2,12.4,6.0,1.66,1.2,1.2,3.6,29.7
Luka Doncic,['PG'],77,34.9,.475,.732,3.1,8.3,8.7,2.02,1.0,0.5,4.3,28.3
James Harden,"['SG', 'PG']",76,34.4,.458,.863,3.0,7.2,9.5,2.44,1.3,0.7,3.9,25.2
Karl-Anthony Towns,['C'],76,33.7,.508,.814,2.8,11.2,4.1,1.32,0.9,1.3,3.1,25.8
Bradley Beal,['SG'],76,36.8,.471,.864,2.9,4.6,5.3,1.61,1.2,0.4,3.3,33.6
Damian Lillard,['PG'],76,35.1,.451,.914,3.8,4.2,7.7,2.66,0.9,0.3,2.9,28.9
Paul George,"['SF', 'SG']",76,36.5,.440,.841,3.7,8.0,4.2,1.56,2.1,0.4,2.7,27.5
Stephen Curry,['PG'],73,33.9,.477,.916,5.2,5.4,5.5,1.78,1.3,0.2,3.1,29.5
Jayson Tatum,"['PF', 'SF']",76,36.1,.463,.860,3.1,7.4,4.1,1.58,1.2,0.6,2.6,28.8
Kevin Durant,"['SF', 'PF']",76,33.3,.528,.885,2.0,6.5,5.6,1.87,0.7,1.1,3.0,25.9
Nikola Vucevic,['C'],76,33.3,.479,.829,2.4,11.6,3.8,2.11,0.9,0.7,1.8,23.0
Zion Williamson,['PF'],73,33.8,.606,.729,0.4,7.4,4.4,1.57,1.0,0.6,2.8,29.3
De'Aaron Fox,['PG'],76,35.8,.476,.741,2.0,3.6,7.4,2.38,1.5,0.5,3.1,26.7
Joel Embiid,['C'],67,32.3,.510,.856,1.3,11.1,3.0,0.94,1.0,1.4,3.2,31.0
LeBron James,"['SF', 'PG', 'PF']",72,32.5,.531,.693,2.2,7.5,6.9,1.92,1.1,0.5,3.6,25.3
Trae Young,['PG'],76,34.3,.439,.880,2.5,4.0,9.4,2.18,0.9,0.2,4.3,26.5
Fred VanVleet,"['SG', 'PG']",74,36.9,.391,.881,3.6,4.2,7.3,3.83,1.7,0.7,1.9,21.4
Donovan Mitchell,"['SG', 'PG']",76,34.6,.439,.845,3.7,4.6,5.3,1.83,1.0,0.3,2.9,29.3
Domantas Sabonis,['PF'],73,35.9,.535,.731,0.8,12.0,6.5,1.92,1.2,0.5,3.4,20.2
Anthony Davis,['PF'],67,32.8,.506,.819,1.0,8.8,3.0,1.31,1.4,2.2,2.3,24.5
Julius Randle,['PF'],77,36.7,.459,.801,2.1,10.1,5.6,1.70,0.9,0.3,3.3,23.5
Rudy Gobert,['C'],77,32.6,.680,.624,0.0,13.8,1.5,0.83,0.7,2.5,1.8,15.1
