name,positions,GP,MIN,FG%,FT%,3PM,REB,AST,A/TO,STL,BLK,TO,PTS
Nikola Jokic,['C'],72,34.6,.566,.868,1.3,10.8,8.3,2.69,1.3,0.7,3.1,26.4
Giannis Antetokounmpo,['PF'],61,33.0,.569,.685,1.1,11.0,5.9,1.72,1.2,1.2,3.4,28.1
Luka Doncic,['PG'],66,34.3,.479,.730,2.9,8.0,8.6,2.02,1.0,0.5,4.3,27.7
James Harden,"['SG', 'PG']",44,36.5,.466,.861,2.8,7.9,10.8,2.68,1.2,0.8,4.0,24.6
Karl-Anthony Towns,['C'],50,33.8,.486,.859,2.4,10.6,4.5,1.41,0.8,1.1,3.2,24.8
Bradley Beal,['SG'],60,35.7,.485,.889,2.2,4.7,4.4,1.42,1.2,0.4,3.1,31.3
Damian Lillard,['PG'],67,35.8,.451,.927,4.1,4.2,7.5,2.49,0.9,0.3,3.0,28.7
Paul George,"['SF', 'SG']",54,33.8,.467,.868,3.2,6.6,5.2,1.56,1.1,0.4,3.3,23.3
Stephen Curry,['PG'],63,34.2,.482,.916,5.3,5.5,5.8,1.70,1.2,0.1,3.4,32.0
Jayson Tatum,"['PF', 'SF']",64,35.8,.459,.868,2.9,7.4,4.3,1.60,1.2,0.5,2.7,26.4
Kevin Durant,"['SF', 'PF']",35,33.1,.537,.882,2.4,7.1,5.5,1.62,0.7,1.3,3.4,26.9
Nikola Vucevic,['C'],70,33.5,.477,.840,2.5,11.7,3.8,2.13,0.9,0.7,1.8,23.4
Zion Williamson,['PF'],61,33.2,.611,.698,0.2,7.2,3.7,1.35,0.9,0.6,2.7,27.0
De'Aaron Fox,['PG'],58,35.1,.477,.719,1.8,3.5,7.2,2.40,1.5,0.5,3.0,25.2
Joel Embiid,['C'],51,31.2,.513,.859,1.1,10.5,2.8,0.91,1.0,1.4,3.1,28.5
LeBron James,"['SF', 'PG', 'PF']",45,33.4,.513,.698,2.3,7.7,7.8,2.08,1.1,0.6,3.7,25.0
